id,Ram,Dhananjay,Guru,Ashutosh
RonaldAskin--NadyaBliss,N,N,N,N
RonaldAskin--KSelcukCandan,N,N,N,N
RonaldAskin--YinongChen,N,N,N,N
RonaldAskin--CharlesColbourn,N,Y,N,N
RonaldAskin--JamesCollofello,N,Y,N,N
RonaldAskin--ParthaDasgupta,N,N,N,N
RonaldAskin--HasanDavulcu,N,Y,N,N
RonaldAskin--AdamDoupe,N,Y,N,N
RonaldAskin--GeorgiosFainekos,N,Y,N,N
RonaldAskin--AshrafGaffar,N,Y,N,N
RonaldAskin--KevinGary,N,Y,N,N
RonaldAskin--EsmaGel,N,Y,Y,N
RonaldAskin--JavierGonzalezSanchez,N,Y,N,N
RonaldAskin--SandeepGupta,N,N,N,N
RonaldAskin--DianneHansford,N,Y,N,N
RonaldAskin--JingruiHe,N,Y,N,N
RonaldAskin--DijiangHuang,N,Y,N,N
RonaldAskin--SubbaraoKambhampati,N,Y,N,N
RonaldAskin--JoohyungLee,N,N,N,N
RonaldAskin--YannHangLee,N,Y,N,N
RonaldAskin--BaoxinLi,N,Y,N,N
RonaldAskin--TimLindquist,N,Y,N,N
RonaldAskin--RossMaciejewski,N,N,N,N
RonaldAskin--RyanMeuth,N,N,N,N
RonaldAskin--PituMirchandani,Y,Y,Y,N
RonaldAskin--BrianNelson,N,N,N,N
RonaldAskin--RongPan,N,Y,N,N
RonaldAskin--SethuramanPanchanathan,N,Y,N,N
RonaldAskin--PaoloPapotti,N,N,N,N
RonaldAskin--GiuliaPedrielli,N,N,Y,N
RonaldAskin--FengboRen,N,Y,N,N
RonaldAskin--AndreaWRicha,N,N,N,N
RonaldAskin--GeorgeRunger,N,Y,Y,N
RonaldAskin--HessamSarjoughian,N,N,N,N
RonaldAskin--MohamedSarwat,N,Y,N,N
RonaldAskin--ArunabhaSen,N,N,N,N
RonaldAskin--PauloShakarian,N,Y,N,N
RonaldAskin--AviralShrivastava,N,Y,N,N
RonaldAskin--DanShunk,Y,N,N,N
RonaldAskin--VioletSyrotiuk,N,Y,N,N
RonaldAskin--HanghangTong,N,N,N,N
RonaldAskin--KurtVanLehn,N,Y,N,N
RonaldAskin--JReneVillalobos,Y,N,Y,N
RonaldAskin--SarmaVrudhula,N,Y,N,N
RonaldAskin--ErinWalker,N,N,N,N
RonaldAskin--CaroleJeanWu,N,N,N,N
RonaldAskin--TeresaWu,N,Y,N,N
RonaldAskin--GuoliangXue,N,N,N,N
RonaldAskin--YezhouYang,N,N,N,N
RonaldAskin--StephenSYau,N,N,N,N
RobertAtkinson--JanakaBalasooriya,N,N,N,N
RobertAtkinson--AjayBansal,N,N,N,Y
RobertAtkinson--SrividyaBansal,Y,N,N,N
RobertAtkinson--ChittaBaral,N,N,Y,N
RobertAtkinson--RidaBazzi,N,N,N,N
RobertAtkinson--HeniBenAmor,N,Y,N,N
RobertAtkinson--NadyaBliss,N,Y,N,N
RobertAtkinson--KSelcukCandan,N,N,N,N
RobertAtkinson--YinongChen,N,N,N,N
RobertAtkinson--CharlesColbourn,N,Y,N,N
RobertAtkinson--JamesCollofello,N,N,N,N
RobertAtkinson--ParthaDasgupta,N,N,N,N
RobertAtkinson--HasanDavulcu,N,N,N,N
RobertAtkinson--AdamDoupe,N,N,N,N
RobertAtkinson--GeorgiosFainekos,N,N,N,N
RobertAtkinson--AshrafGaffar,Y,N,Y,N
RobertAtkinson--KevinGary,N,Y,N,N
RobertAtkinson--EsmaGel,N,N,N,N
RobertAtkinson--JavierGonzalezSanchez,N,N,Y,N
RobertAtkinson--SandeepGupta,N,Y,N,N
RobertAtkinson--DianneHansford,N,N,N,N
RobertAtkinson--JingruiHe,N,N,N,Y
RobertAtkinson--DijiangHuang,N,N,N,N
RobertAtkinson--SubbaraoKambhampati,N,N,N,N
RobertAtkinson--JoohyungLee,N,Y,N,N
RobertAtkinson--YannHangLee,N,N,N,N
RobertAtkinson--BaoxinLi,N,N,N,N
RobertAtkinson--TimLindquist,N,Y,N,N
RobertAtkinson--RossMaciejewski,N,N,N,N
RobertAtkinson--RyanMeuth,Y,N,Y,N
RobertAtkinson--PituMirchandani,N,N,N,N
RobertAtkinson--BrianNelson,Y,N,N,N
RobertAtkinson--RongPan,N,Y,N,N
RobertAtkinson--SethuramanPanchanathan,Y,N,Y,N
RobertAtkinson--PaoloPapotti,N,N,N,N
RobertAtkinson--GiuliaPedrielli,N,Y,N,N
RobertAtkinson--FengboRen,N,N,N,N
RobertAtkinson--AndreaWRicha,N,Y,N,N
RobertAtkinson--GeorgeRunger,N,Y,N,N
RobertAtkinson--HessamSarjoughian,N,N,N,N
RobertAtkinson--MohamedSarwat,N,Y,N,N
RobertAtkinson--ArunabhaSen,N,Y,N,N
RobertAtkinson--PauloShakarian,N,Y,N,Y
RobertAtkinson--AviralShrivastava,N,Y,N,N
RobertAtkinson--DanShunk,N,Y,N,N
