id,value
RonaldAskin--AviralShrivastava,Y
RonaldAskin--DanShunk,N
RonaldAskin--VioletSyrotiuk,Y
RonaldAskin--HanghangTong,N
RonaldAskin--KurtVanLehn,Y
RonaldAskin--JReneVillalobos,NA
RonaldAskin--SarmaVrudhula,Y
RonaldAskin--ErinWalker,N
RonaldAskin--CaroleJeanWu,N
RonaldAskin--TeresaWu,Y
RonaldAskin--GuoliangXue,N
RonaldAskin--YezhouYang,N
RonaldAskin--NongYe,N
RonaldAskin--StephenSYau,N
RobertAtkinson--JanakaBalasooriya,N
RobertAtkinson--AjayBansal,N
RobertAtkinson--SrividyaBansal,N
RobertAtkinson--ChittaBaral,N
RobertAtkinson--RidaBazzi,N
RobertAtkinson--HeniBenAmor,Y
RobertAtkinson--NadyaBliss,Y
RobertAtkinson--KSelcukCandan,N
RobertAtkinson--YinongChen,N
RobertAtkinson--CharlesColbourn,Y
RobertAtkinson--JamesCollofello,N
RobertAtkinson--ParthaDasgupta,N
RobertAtkinson--HasanDavulcu,N
RobertAtkinson--AdamDoupe,N
RobertAtkinson--GeorgiosFainekos,N
RobertAtkinson--AshrafGaffar,N
RobertAtkinson--KevinGary,Y
RobertAtkinson--EsmaGel,N
RobertAtkinson--JavierGonzalezSanchez,N
RobertAtkinson--SandeepGupta,Y
RobertAtkinson--DianneHansford,N
RobertAtkinson--JingruiHe,N
RobertAtkinson--DijiangHuang,N
RobertAtkinson--FengJu,N
RobertAtkinson--SubbaraoKambhampati,N
RobertAtkinson--JoohyungLee,Y
RobertAtkinson--YannHangLee,N
RobertAtkinson--BaoxinLi,N
RobertAtkinson--TimLindquist,Y
RobertAtkinson--RossMaciejewski,N
RobertAtkinson--RyanMeuth,N
RobertAtkinson--PituMirchandani,N
RobertAtkinson--BrianNelson,N
RobertAtkinson--RongPan,Y
RobertAtkinson--SethuramanPanchanathan,N
RobertAtkinson--PaoloPapotti,N
RobertAtkinson--GiuliaPedrielli,Y
RobertAtkinson--FengboRen,N
RobertAtkinson--AndreaWRicha,Y
RobertAtkinson--GeorgeRunger,Y
RobertAtkinson--HessamSarjoughian,N
RobertAtkinson--MohamedSarwat,Y
RobertAtkinson--ArunabhaSen,Y
RobertAtkinson--PauloShakarian,Y
RobertAtkinson--AviralShrivastava,Y
RobertAtkinson--DanShunk,Y
RobertAtkinson--VioletSyrotiuk,Y
RobertAtkinson--HanghangTong,N
RobertAtkinson--KurtVanLehn,N
RobertAtkinson--JReneVillalobos,NA
RobertAtkinson--SarmaVrudhula,N
RobertAtkinson--ErinWalker,Y
RobertAtkinson--CaroleJeanWu,N
RobertAtkinson--TeresaWu,N
RobertAtkinson--GuoliangXue,N
RobertAtkinson--YezhouYang,N
RobertAtkinson--NongYe,N
RobertAtkinson--StephenSYau,N
JanakaBalasooriya--AjayBansal,N
JanakaBalasooriya--SrividyaBansal,Y
JanakaBalasooriya--ChittaBaral,N
JanakaBalasooriya--RidaBazzi,Y
JanakaBalasooriya--HeniBenAmor,N
JanakaBalasooriya--NadyaBliss,Y
JanakaBalasooriya--KSelcukCandan,N
JanakaBalasooriya--YinongChen,N
JanakaBalasooriya--CharlesColbourn,Y
JanakaBalasooriya--JamesCollofello,N
JanakaBalasooriya--ParthaDasgupta,Y
JanakaBalasooriya--HasanDavulcu,Y
JanakaBalasooriya--AdamDoupe,Y
JanakaBalasooriya--GeorgiosFainekos,N
JanakaBalasooriya--AshrafGaffar,Y
JanakaBalasooriya--KevinGary,N
JanakaBalasooriya--EsmaGel,Y
JanakaBalasooriya--JavierGonzalezSanchez,Y
JanakaBalasooriya--SandeepGupta,N
JanakaBalasooriya--DianneHansford,N
JanakaBalasooriya--JingruiHe,N
JanakaBalasooriya--DijiangHuang,Y
JanakaBalasooriya--FengJu,Y
JanakaBalasooriya--SubbaraoKambhampati,Y
JanakaBalasooriya--JoohyungLee,Y
JanakaBalasooriya--YannHangLee,Y
JanakaBalasooriya--BaoxinLi,N
JanakaBalasooriya--TimLindquist,N
JanakaBalasooriya--RossMaciejewski,Y
JanakaBalasooriya--RyanMeuth,Y
JanakaBalasooriya--PituMirchandani,N
JanakaBalasooriya--BrianNelson,Y
JanakaBalasooriya--RongPan,N
JanakaBalasooriya--SethuramanPanchanathan,N
JanakaBalasooriya--PaoloPapotti,N
JanakaBalasooriya--GiuliaPedrielli,N
JanakaBalasooriya--FengboRen,Y
JanakaBalasooriya--AndreaWRicha,Y
JanakaBalasooriya--GeorgeRunger,N
JanakaBalasooriya--HessamSarjoughian,Y
JanakaBalasooriya--MohamedSarwat,Y
JanakaBalasooriya--ArunabhaSen,N
JanakaBalasooriya--PauloShakarian,Y
JanakaBalasooriya--AviralShrivastava,Y
JanakaBalasooriya--DanShunk,N
JanakaBalasooriya--VioletSyrotiuk,Y
JanakaBalasooriya--HanghangTong,N
JanakaBalasooriya--KurtVanLehn,N
JanakaBalasooriya--JReneVillalobos,NA
JanakaBalasooriya--SarmaVrudhula,N
JanakaBalasooriya--ErinWalker,N
JanakaBalasooriya--CaroleJeanWu,N
JanakaBalasooriya--TeresaWu,Y
JanakaBalasooriya--GuoliangXue,N
JanakaBalasooriya--YezhouYang,N
JanakaBalasooriya--NongYe,N
JanakaBalasooriya--StephenSYau,N
AjayBansal--SrividyaBansal,Y
AjayBansal--ChittaBaral,Y
AjayBansal--RidaBazzi,N
AjayBansal--HeniBenAmor,Y
AjayBansal--NadyaBliss,Y
AjayBansal--KSelcukCandan,N
AjayBansal--YinongChen,N
AjayBansal--CharlesColbourn,N
AjayBansal--JamesCollofello,Y
AjayBansal--ParthaDasgupta,Y
AjayBansal--HasanDavulcu,N
AjayBansal--AdamDoupe,Y
AjayBansal--GeorgiosFainekos,Y
AjayBansal--AshrafGaffar,N
AjayBansal--KevinGary,N
AjayBansal--EsmaGel,N
AjayBansal--JavierGonzalezSanchez,Y
