GailJoonAhn,[(0, 15193.035956109057), (1, -5472.9466431453893), (2, 5557.2534198837802), (3, -4958.9357744867384), (4, 3674.1222524481373), (5, -7113.7675273085251), (6, 3396.4308611151755), (7, -2416.3299465726809), (8, 827.6640405777357), (9, -3065.5823054183843), (10, 63.47625487939797), (11, -22.577372538408309), (12, 254.66427337102743), (13, -815.04134567385904), (14, 254.72638006680205)]
AshishAmresh,[(0, 604.91155532138851), (1, -209.3973658813814), (2, 45.098489253967699), (3, 67.124599870421989), (4, 77.425833184347013), (5, -11.964046424183355), (6, 14.344389192788221), (7, -36.848713704856266), (8, 78.96612115897841), (9, -8.1539726749250061), (10, -73.113117629123479), (11, 0.16624748548370361), (12, 33.602870672584729), (13, 11.717318306378157), (14, -273.39661310999116)]
RonaldAskin,[(0, 814.03989195369729), (1, -101.26151397676276), (2, -11.0414969833712), (3, 87.635403561679041), (4, -192.43914047898727), (5, 95.419761404229988), (6, 92.401721498633691), (7, -100.76306534947689), (8, -1.6847127718066686), (9, -123.9194084523222), (10, -5.4150013966317285), (11, -6.2551839584673976), (12, 31.419999508312397), (13, -65.782218956136845), (14, -87.447394602252686)]
RobertAtkinson,[(0, 1449.8186289241182), (1, -557.09324208332919), (2, -117.55118721220018), (3, 221.78662928125448), (4, 216.371948965222), (5, 57.246246078768763), (6, 11.191947210320842), (7, -48.641389284597309), (8, 276.17484472105394), (9, 87.822781875027317), (10, -215.29731427429346), (11, 98.639792750042716), (12, -164.00990514808484), (13, -0.81658037558885654), (14, -1141.3966393858934)]
JanakaBalasooriya,[(0, 1474.5656530874646), (1, -868.05650534568224), (2, 993.87106176719317), (3, -305.78990350896896), (4, 69.552907827958933), (5, 467.1480347671104), (6, -421.67364193587724), (7, 563.66240630574475), (8, -28.872750498550737), (9, 278.3929933520792), (10, 243.52131092753248), (11, 137.88945660621258), (12, -48.910613580085922), (13, 39.272416258178879), (14, 147.95353000325957)]
AjayBansal,[(0, 1540.0978563271449), (1, -982.6206418011302), (2, 714.27733975474507), (3, -706.40698572267218), (4, -30.622598498807651), (5, 739.33255624307083), (6, -315.9310003098505), (7, 1028.8518327784489), (8, -93.835691409105166), (9, 457.7779847063461), (10, 577.8251486713234), (11, 323.33904176285625), (12, -169.16609700091232), (13, 106.44740292055741), (14, 257.84607325438651)]
SrividyaBansal,[(0, 4757.6591039995674), (1, -2139.2175924868538), (2, 1691.7701226454512), (3, -1249.5090980008483), (4, 1050.5050685454862), (5, -320.64652695458835), (6, -203.93020562134475), (7, 597.45292878665828), (8, -251.49524190212577), (9, -102.87421006425816), (10, 519.89668362208067), (11, 200.27261335772593), (12, 315.1406870438409), (13, -81.158036310823576), (14, -8.0807076723518847)]
ChittaBaral,[(0, 10035.555053853335), (1, -3939.435293910482), (2, -5447.2903215103815), (3, -2653.8887165679507), (4, -2632.9451266839774), (5, -246.66861484463163), (6, 4639.8212471987554), (7, 1062.5167766139418), (8, -1154.5262554079111), (9, 4264.4737920914877), (10, -729.32454102244128), (11, 682.71866899700547), (12, -268.47254324624447), (13, 388.55236649982101), (14, -504.67184409528528)]
RidaBazzi,[(0, 3649.6852694708114), (1, -420.10897203576718), (2, -185.1361597303426), (3, 149.04310743254638), (4, -1160.4546260656302), (5, -314.5830201576743), (6, 1061.5743834505593), (7, 703.63304216231609), (8, -177.1745068247296), (9, 510.27767597504328), (10, -597.64572674174644), (11, -478.26984118065303), (12, -73.377246678627785), (13, -1091.7761927027718), (14, 141.67884868037268)]
HeniBenAmor,[(0, 3061.544221762083), (1, -961.87163973556699), (2, -799.51053615607907), (3, 583.33198527313334), (4, 274.46314217495677), (5, 406.80859431482719), (6, -20.190927790496939), (7, -407.81811086091909), (8, 725.12580819362779), (9, 187.33654591692968), (10, -178.10179078186329), (11, 10.747375520700707), (12, -178.14765574227815), (13, -224.69159000544161), (14, -329.88253752594835)]
