Professor,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25
Davulcu Hasan,2452.7115635664,-79.8144436741,1250.65647191,-408.5739128954,-1124.1304500111,-99.3721808333,755.331370944,-501.4290814781,148.3318763185,1187.4227803747,343.5550801217,-707.326408943,-363.0787611908,-498.9436688832,-250.9490215533,455.1337517312,-91.0774700007,-9.7887032381,-52.443036704,-119.6031419537,-13.0017963366,-38.2221072051,-7.9879191219,27.6537682299,0.0362701505
Gary Kevin,1037.4535903236,-141.1957064596,590.5200176677,33.838548706,-120.755857654,56.7000633088,240.2188148847,-10.4396505729,-39.4311619018,23.726504093,-121.8710054741,132.1469984639,-35.9358609062,-230.4676068025,140.3935301186,-181.8078286623,-9.7889333919,125.6373145976,76.072614332,173.4157853645,26.5448027505,600.0801998414,-739.1789605512,80.4553633973,-0.7512155584
Bansal Srividya,956.9583909289,-142.7290431935,930.4983103776,73.2748504743,582.0397905074,-1366.2274937896,195.4333600671,172.4398489821,-159.3195076643,6.1566454047,65.1683623086,-142.9486131793,-1.2240884258,9.5461962529,-36.693774628,-16.0331645753,45.5518389306,86.5052025259,-39.8278466973,1.7627241348,-37.3850549251,121.7682426291,-34.2878422393,-600.4021786107,-0.3841548785
Ben Amor Heni,2134.5605743929,-562.3071738663,787.3534642063,24.3688601147,-1580.735433865,-17.9810177784,-885.9177863982,1568.8047142797,-1075.4667522972,70.5755906352,-365.0128139861,-89.6275764217,-205.5758673738,419.7141571706,12.7057028617,398.1923345703,-73.4225703578,-4.194362413,39.6705012735,20.3100822367,3.880782312,8.042575096,-40.8672312325,-0.6400934968,-0.0844733088
Doupe Adam,2499.8415722276,-81.9497831267,2188.0140522114,-1286.4258215303,1421.2434538826,897.4988669111,-612.4256877779,165.7259241923,40.2163927917,-178.8392095721,159.4123702996,-589.7785898619,-805.8991349714,268.1878602862,-93.7862407493,-501.6206365678,-109.7908456836,-76.0216358555,27.6242062713,-47.7504940592,-62.9384590032,3.9081546267,7.5217021083,29.1749973302,0.0475187141
Sarwat Mohamed,1816.3902620246,56.3284750271,1146.3670014214,-424.6209513777,-892.4624244486,50.449443388,1412.8346617059,-794.0621133251,-549.1055319532,-1348.7326424906,-472.026437434,-336.5509434739,-94.4975541344,133.8518140045,155.0728109003,153.7894105385,128.4804269896,-156.2901000607,101.4433735403,-30.5353601839,-23.039942223,-27.8361650006,43.8088873043,5.4451519467,0.019635564
Shakarian Paulo,1588.1988144333,-62.0880604197,739.1994798254,-269.2739897049,-450.9556952088,69.7902575527,143.1519255365,-255.6205840015,83.3696747267,441.7490186698,85.4763233891,216.1300079339,563.0439832975,661.3724238478,-660.9765512339,-328.3012532812,272.3586435365,-455.7413031341,526.4449387925,-375.3912840771,60.5936072554,117.1900817776,-38.5638903639,-14.3815907517,0.073597475
Whitehouse Richard,21.9895639985,-2.1535048812,13.2429469195,1.0315139114,-5.6456799081,0.3417104913,7.8242302423,6.1847919726,-1.4058018272,1.7487124587,-6.1652733076,4.3007031101,-0.3246232764,-4.4707489222,2.3707739448,-6.2028254437,-4.746073484,5.0050594075,0.4063177789,1.5474542403,3.1103736292,5.6447872072,-7.5161616896,-3.4930142389,70.3265540233
Nakamura Mutsumi,881.0780718614,148.6102620934,210.5673831985,-93.2025173127,-141.479411344,-90.0534674503,-393.5976252853,-190.85983271,216.9187441836,-139.6781958166,-54.8825441011,89.798242075,64.8856848174,-140.01919034,115.8868754844,-4.144950642,-304.4952275096,-61.3242113878,321.3641431637,-117.3961923825,-40.5939425755,-759.6001954513,-541.6106591888,-74.6740883294,-0.0900565481
Bansal Ajay,1677.5108009381,91.7391392645,1408.8319694133,-304.1523014888,945.7783904081,-2618.2045385057,184.6434537956,311.8676108982,-129.8590310344,6.3522197914,119.9257802728,31.4663797101,115.2535771971,111.0990086046,82.8247573051,44.3158834981,113.7590941382,-99.324751408,-128.982385905,-22.0504276716,25.3173070559,-99.9295513189,-19.7031680341,316.7259221263,0.2038304472
